MStarID,FundName,Date,Value,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-03,208.78738,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-02,208.78738,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-01,208.78738,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-31,208.71541,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-30,208.82968,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-29,208.88213,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-28,208.97623,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-27,208.97623,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-26,208.97623,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-25,209.08916,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-24,209.02768,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-23,208.95708,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-22,208.87198,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-21,208.78082,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-20,208.78082,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-03-19,208.78082,
